Date,Fleet,Course,B Factor,A Factor,Rating,Points
8/5/2015,Yellow,14s,600,738,144,1
8/5/2015,Yellow,14s,600,738,96,2
8/5/2015,Yellow,14s,600,738,180,3
8/5/2015,Yellow,14s,600,738,171,4
8/5/2015,Blue,14s,600,777,225,1
8/5/2015,Blue,14s,600,777,198,2
8/5/2015,Blue,14s,600,777,189,3
8/5/2015,Blue,14s,600,777,180,4
8/5/2015,Blue,14s,600,777,150,5
8/5/2015,Blue,14s,600,777,129,6
8/12/2015,Yellow,2,550,688,96,1
8/12/2015,Yellow,2,550,688,144,2
8/12/2015,Yellow,2,550,688,180,3
8/12/2015,Yellow,2,550,688,108,4
8/12/2015,Yellow,2,550,688,171,5
8/12/2015,Yellow,2,550,688,177,6
8/12/2015,Yellow,2,550,688,138,7
8/12/2015,Blue,2s,550,777,225,1
8/12/2015,Blue,2s,550,777,189,2
8/12/2015,Blue,2s,550,777,129,3
8/12/2015,Blue,2s,550,777,150,4
8/26/2015,Yellow,16,550,688,171,1
8/26/2015,Yellow,16,550,688,96,2
8/26/2015,Yellow,16,550,688,144,3
8/26/2015,Yellow,16,550,688,180,4
8/26/2015,Yellow,16,550,688,177,5
8/26/2015,Yellow,16,550,688,138,6
8/26/2015,Blue,16s,600,777,198,1
8/26/2015,Blue,16s,600,777,189,2
8/26/2015,Blue,16s,600,777,225,3
8/26/2015,Blue,16s,600,777,150,4
8/26/2015,Blue,16s,600,777,129,5
8/26/2015,Blue,16s,600,777,180,6
9/9/2015,Yellow,7,600,738,96,1
9/9/2015,Yellow,7,600,738,171,2
9/9/2015,Yellow,7,600,738,177,3
9/9/2015,Yellow,7,600,738,180,4
9/9/2015,Yellow,7,600,738,144,5
9/9/2015,Yellow,7,600,738,171,6
9/9/2015,Yellow,7,600,738,138,7
9/9/2015,Blue,7s,600,777,225,1
9/9/2015,Blue,7s,600,777,198,2
9/9/2015,Blue,7s,600,777,189,3
9/9/2015,Blue,7s,600,777,129,4
9/9/2015,Blue,7s,600,777,192,5
9/16/2015,Yellow,16,600,738,171,1
9/16/2015,Yellow,16,600,738,180,2
9/16/2015,Yellow,16,600,738,144,3
9/16/2015,Yellow,16,600,738,96,4
9/16/2015,Yellow,16,600,738,138,5
9/16/2015,Blue,16s,600,777,189,1
9/16/2015,Blue,16s,600,777,198,2
9/16/2015,Blue,16s,600,777,150,3
9/16/2015,Blue,16s,600,777,225,4
9/16/2015,Blue,16s,600,777,129,5
9/16/2015,Blue,16s,600,777,192,6
9/23/2015,Yellow,2,480,618,144,1
9/23/2015,Yellow,2,480,618,180,2
9/23/2015,Yellow,2,480,618,96,3
9/23/2015,Yellow,2,480,618,171,4
9/23/2015,Yellow,2,480,618,177,5
9/23/2015,Blue,2,600,777,198,1
9/23/2015,Blue,2,600,777,189,2
9/23/2015,Blue,2,600,777,150,3
9/23/2015,Blue,2,600,777,192,4
4/29/2015,Yellow,16,600,738,96,1
4/29/2015,Yellow,16,600,738,171,2
4/29/2015,Yellow,16,600,738,180,3
4/29/2015,Yellow,16,600,738,144,4
4/29/2015,Yellow,16,600,738,108,5
4/29/2015,Yellow,16,600,738,156,6
4/29/2015,Yellow,16,600,738,171,7
4/29/2015,Yellow,16,600,738,198,1
4/29/2015,Blue,16,600,777,177,2
4/29/2015,Blue,16,600,777,189,3
4/29/2015,Blue,16,600,777,192,4
5/6/2015,Yellow,4,600,738,96,1
5/6/2015,Yellow,4,600,738,171,2
5/6/2015,Yellow,4,600,738,180,3
5/6/2015,Yellow,4,600,738,144,4
5/6/2015,Yellow,4,600,738,108,5
5/6/2015,Yellow,4,600,738,171,6
5/6/2015,Yellow,4,600,738,156,7
5/6/2015,Blue,4,600,777,177,1
5/6/2015,Blue,4,600,777,138,2
5/6/2015,Blue,4,600,777,198,3
5/6/2015,Blue,4,600,777,225,4
5/6/2015,Blue,4,600,777,192,5
5/13/2015,Yellow,13,480,618,171,1
5/13/2015,Yellow,13,480,618,96,2
5/13/2015,Yellow,13,480,618,144,3
5/13/2015,Yellow,13,480,618,108,4
5/13/2015,Yellow,13,480,618,156,5
5/13/2015,Yellow,13,480,618,180,6
5/13/2015,Yellow,13,480,618,171,7
5/13/2015,Blue,13,550,727,225,1
5/13/2015,Blue,13,550,727,138,2
5/13/2015,Blue,13,550,727,177,3
5/13/2015,Blue,13,550,727,189,4
5/13/2015,Blue,13,550,727,129,5
6/10/2015,Yellow,14,600,738,171,1
6/10/2015,Yellow,14,600,738,96,2
6/10/2015,Yellow,14,600,738,156,3
6/10/2015,Yellow,14,600,738,138,4
6/10/2015,Yellow,14,600,738,177,5
6/10/2015,Yellow,14,600,738,171,6
6/10/2015,Yellow,14,600,738,108,7
6/10/2015,Blue,14s,600,777,198,1
6/10/2015,Blue,14s,600,777,225,2
6/10/2015,Blue,14s,600,777,150,3
6/10/2015,Blue,14s,600,777,192,4
